index,participant,session,is_correct
0,200,brown,0.9895833333333334
3,201,brown,0.9895833333333334
6,202,brown,0.9791666666666666
9,203,brown,0.9791666666666666
12,204,brown,0.9791666666666666
15,301,brown,0.96875
18,302,brown,0.9375
21,303,brown,0.9479166666666666
24,304,brown,0.9895833333333334
27,305,brown,0.9375
30,306,brown,0.96875
33,307,brown,0.9791666666666666
36,9318,brown,0.96875
39,157356,brown,0.9583333333333334
42,548792,brown,1.0
45,588828,brown,0.9791666666666666
48,818597,brown,0.9791666666666666
51,839726,brown,1.0
54,933098,brown,0.9895833333333334
