index,participant,session,rt
0,200,brown,0.5973216398401306
3,201,brown,0.5752961668164331
6,202,brown,0.6318336377250185
9,203,brown,0.5489698138200245
12,204,brown,0.7649051823777725
15,301,brown,0.5837296466666809
18,302,brown,0.6568065027028285
21,303,brown,0.657169800001253
24,304,brown,0.5808098575767927
27,305,brown,0.6476830805566149
30,306,brown,0.5290215309522908
33,307,brown,0.5143169971415773
36,9318,brown,0.7215641818177325
39,157356,brown,0.7071072899969295
42,548792,brown,0.6436960142850044
45,588828,brown,0.6579566111110277
48,818597,brown,0.6990165500000103
51,839726,brown,0.5968566285726931
54,933098,brown,0.563449322222065
