response,is_correct,nback_type,rt,participant,session,date
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.42141750000882894],200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.47623529203701764],200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.7008402909850702],200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,,,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.40395875001559034],200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.7502023749984801],200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.4003641249728389],200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.8213640419999138],200,brown,2023-11-18_15h27.51.073
,,,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[0.43765283399261534],200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[0.4528528329683468],200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[1.0841728340019472],200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[0.8820457499823533],200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,,,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[0.5037848749780096],200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[0.45368600002257153],200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[0.4245334170409478],200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[0.397364208009094],200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,0.0,2.0,,200,brown,2023-11-18_15h27.51.073
,,,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[0.7211396250058897],200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[0.557640207989607],200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[0.546456209034659],200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[0.7653154999716207],200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,,,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.717419249995146],200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.5467698750435375],200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.5953290830366313],200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.5849538749898784],200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.5843709579785354],200,brown,2023-11-18_15h27.51.073
,,,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.41526008304208517],200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.5317482499522157],200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
,1.0,1.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,1.0,[0.6307389590074308],200,brown,2023-11-18_15h27.51.073
,,,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[0.4156732910196297],200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[0.43879641697276384],200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[1.1512899169465527],200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,brown,2023-11-18_15h27.51.073
['space'],1.0,2.0,[0.7035942090442404],200,brown,2023-11-18_15h27.51.073
,,,,200,brown,2023-11-18_15h27.51.073
,1.0,2.0,,200,pink,2023-11-18_15h34.14.289
,1.0,2.0,,200,pink,2023-11-18_15h34.14.289
,1.0,2.0,,200,pink,2023-11-18_15h34.14.289
['space'],1.0,2.0,[0.6230996670201421],200,pink,2023-11-18_15h34.14.289
,1.0,2.0,,200,pink,2023-11-18_15h34.14.289
['space'],1.0,2.0,[0.47517970902845263],200,pink,2023-11-18_15h34.14.289
,1.0,2.0,,200,pink,2023-11-18_15h34.14.289
['space'],1.0,2.0,[0.6212134580127895],200,pink,2023-11-18_15h34.14.289
,1.0,2.0,,200,pink,2023-11-18_15h34.14.289
,1.0,2.0,,200,pink,2023-11-18_15h34.14.289
,1.0,2.0,,200,pink,2023-11-18_15h34.14.289
,0.0,2.0,,200,pink,2023-11-18_15h34.14.289
,,,,200,pink,2023-11-18_15h34.14.289
,1.0,2.0,,200,pink,2023-11-18_15h34.14.289
