index,participant,session,rt
1,200,pink,0.663236399118502
4,201,pink,0.6262942463269129
7,202,pink,0.6589943374507129
10,203,pink,0.48056910662489827
13,204,pink,0.80633389466675
16,301,pink,0.5427630864864839
19,302,pink,0.6680802354841299
22,303,pink,0.6393144076916938
25,304,pink,0.5874685750027311
28,305,pink,0.5764009633329503
31,306,pink,0.5282367999996709
34,307,pink,0.5473913970593404
37,9318,pink,0.7585824299996602
40,157356,pink,0.792226271425274
43,548792,pink,0.6582473999987997
46,588828,pink,0.6674040249998825
49,818597,pink,0.702186250000068
52,839726,pink,0.9020560999973289
55,933098,pink,0.7586394999998447
