trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,8.572543799993582,,None,1,G,,2,,,13,brown,2023-11-08_10h57.59.136,experiment,2023.2.2,59.892612540300846,2023-11-08 10h58.18.428815 +0100,
0,0,0,0,1,0,1,0,10.650469699990936,,None,1,J,,2,,,13,brown,2023-11-08_10h57.59.136,experiment,2023.2.2,59.892612540300846,2023-11-08 10h58.18.428815 +0100,
0,0,0,0,2,0,2,0,12.748773799976334,,None,1,M,G,2,,,13,brown,2023-11-08_10h57.59.136,experiment,2023.2.2,59.892612540300846,2023-11-08 10h58.18.428815 +0100,
0,0,0,0,3,0,3,0,14.846670499973698,,['space'],1,J,J,2,[1.0644890000112355],[None],13,brown,2023-11-08_10h57.59.136,experiment,2023.2.2,59.892612540300846,2023-11-08 10h58.18.428815 +0100,
0,0,0,0,4,0,4,0,16.954912699991837,,None,1,B,M,2,,,13,brown,2023-11-08_10h57.59.136,experiment,2023.2.2,59.892612540300846,2023-11-08 10h58.18.428815 +0100,
0,0,0,0,5,0,5,0,19.0431288999971,,None,1,E,J,2,,,13,brown,2023-11-08_10h57.59.136,experiment,2023.2.2,59.892612540300846,2023-11-08 10h58.18.428815 +0100,
0,0,0,0,6,0,6,0,21.143777299992507,,None,1,Z,B,2,,,13,brown,2023-11-08_10h57.59.136,experiment,2023.2.2,59.892612540300846,2023-11-08 10h58.18.428815 +0100,
0,0,0,0,7,0,7,0,23.246779999986757,,None,1,U,E,2,,,13,brown,2023-11-08_10h57.59.136,experiment,2023.2.2,59.892612540300846,2023-11-08 10h58.18.428815 +0100,
0,0,0,0,8,0,8,0,25.337696199974744,,None,1,N,Z,2,,,13,brown,2023-11-08_10h57.59.136,experiment,2023.2.2,59.892612540300846,2023-11-08 10h58.18.428815 +0100,
0,0,0,0,9,0,9,0,27.436491699976614,,None,1,G,U,2,,,13,brown,2023-11-08_10h57.59.136,experiment,2023.2.2,59.892612540300846,2023-11-08 10h58.18.428815 +0100,
