trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,4.035166100016795,,None,1,E,,1,,,13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
0,0,0,0,1,0,1,0,6.123061799997231,,['space'],1,E,E,1,[0.7436868000077084],[None],13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
0,0,0,0,2,0,2,0,8.224177600000985,,None,1,Y,E,1,,,13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
0,0,0,0,3,0,3,0,10.320264600013616,,None,1,R,Y,1,,,13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
0,0,0,0,4,0,4,0,12.417922499997076,,['space'],1,R,R,1,[0.6325497000070754],[None],13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
0,0,0,0,5,0,5,0,14.516061300004367,,['space'],1,R,R,1,[0.808048000006238],[None],13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
0,0,0,0,6,0,6,0,16.620225399994524,,None,1,D,R,1,,,13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
0,0,0,0,7,0,7,0,18.72380740000517,,None,1,V,D,1,,,13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
0,0,0,0,8,0,8,0,20.819470399990678,,None,1,Z,V,1,,,13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
0,0,0,0,9,0,9,0,22.922549600014463,,None,1,N,Z,1,,,13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
0,0,0,0,10,0,10,0,25.022124400013126,,None,1,M,N,1,,,13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
0,0,0,0,11,0,11,0,27.11990479999804,,None,1,G,M,1,,,13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
0,0,0,0,,,,,,,,,,,,,,13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
1,0,1,0,0,0,0,0,30.119951300002867,,None,1,G,,2,,,13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
1,0,1,0,1,0,1,0,32.228962199995294,,None,1,W,,2,,,13,none,2023-11-08_11h06.53.802,experiment,2023.2.2,59.96688628107922,2023-11-08 11h07.06.870636 +0100,
