trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,1.8033980999898631,,None,1,T,,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
0,0,0,0,1,0,1,0,3.8987568999873474,,['space'],1,T,T,1,[0.6313936000224203],[None],13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
0,0,0,0,2,0,2,0,6.008679399994435,,None,1,I,T,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
0,0,0,0,3,0,3,0,8.095198900002288,,['space'],1,I,I,1,[0.45548910001525655],[None],13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
0,0,0,0,4,0,4,0,10.196613899985095,,None,1,N,I,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
0,0,0,0,5,0,5,0,12.301012999989325,,None,1,E,N,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
0,0,0,0,6,0,6,0,14.40049899998121,,None,1,L,E,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
0,0,0,0,7,0,7,0,16.488211899995804,,['space'],1,L,L,1,[0.5395529999805149],[None],13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
0,0,0,0,8,0,8,0,18.58654689998366,,['space'],1,L,L,1,[0.5933866000268608],[None],13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
0,0,0,0,9,0,9,0,20.69336839998141,,None,1,R,L,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
0,0,0,0,10,0,10,0,22.783126499998616,,['space'],1,R,R,1,[0.6970761999837123],[None],13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
0,0,0,0,11,0,11,0,24.894358399993507,,None,1,U,R,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
0,0,0,0,,,,,,,,,,,,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
1,0,1,0,0,0,0,0,27.945247600000584,,None,1,I,,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
1,0,1,0,1,0,1,0,30.046032799989916,,None,1,D,I,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
1,0,1,0,2,0,2,0,32.141935899999226,,None,1,E,D,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
1,0,1,0,3,0,3,0,34.24029379998683,,None,1,A,E,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
1,0,1,0,4,0,4,0,36.35157339999569,,None,1,V,A,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
1,0,1,0,5,0,5,0,38.442305199976545,,None,1,H,V,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
1,0,1,0,6,0,6,0,40.5460392999812,,None,1,Z,H,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
1,0,1,0,7,0,7,0,42.63336569999228,,None,1,U,Z,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
1,0,1,0,8,0,8,0,44.74295709998114,,None,1,M,U,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
1,0,1,0,9,0,9,0,46.82969709997997,,None,1,H,M,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
1,0,1,0,10,0,10,0,48.940396299993154,,None,1,C,H,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
1,0,1,0,11,0,11,0,51.0265980999975,,['space'],1,C,C,1,[0.4657354000082705],[None],13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
1,0,1,0,,,,,,,,,,,,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
2,0,2,0,0,0,0,0,54.08144359997823,,None,1,Q,,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
2,0,2,0,1,0,1,0,56.17193819998647,,None,1,A,Q,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
2,0,2,0,2,0,2,0,58.28165329998592,,None,1,W,A,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
2,0,2,0,3,0,3,0,60.36862009999459,,None,1,D,W,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
2,0,2,0,4,0,4,0,62.472233599983156,,None,1,J,D,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
2,0,2,0,5,0,5,0,64.57580829999642,,None,1,X,J,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
2,0,2,0,6,0,6,0,66.66347479997785,,None,1,N,X,1,,,13,pink,2023-11-08_11h02.45.021,experiment,2023.2.2,60.02314492972524,2023-11-08 11h02.58.649509 +0100,
