trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_1_back.started,routine_1_back.stopped,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,key_resp_2.rt,key_resp_2.duration,Pause.started,Pause.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,routine_2_back.started,routine_2_back.stopped,key_resp_3.keys,key_resp_3.corr,letter_2.routineEndVal,nback_2.routineEndVal,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,,,,,2.074331899988465,,2.0537248000036925,5.05057449999731,None,1,E,,,,,,,,,,,,,,,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
1,0,1,0,,,,,5.063638899940997,,5.052666999981739,8.048142199986614,['space'],1,E,E,[0.6814405999612063],[None],,,,,,,,,,,,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
2,0,2,0,,,,,8.069945900002494,,8.050761600024998,11.045313799986616,None,1,I,E,,,,,,,,,,,,,,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
3,0,3,0,,,,,11.071770700043999,,11.047082499950193,14.042833199957386,None,1,M,I,,,,,,,,,,,,,,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
4,0,4,0,,,,,14.056303999968804,,14.044767900020815,17.040695999981835,['space'],1,M,M,[0.49176519992761314],[None],,,,,,,,,,,,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
5,0,5,0,,,,,17.053708599996753,,17.043571699992754,20.03789879998658,None,0,M,M,,,,,,,,,,,,,,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
6,0,6,0,,,,,20.06702109996695,,20.039608899969608,23.036009500036016,['space'],0,V,M,[0.9446772000519559],[None],,,,,,,,,,,,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
7,0,7,0,,,,,23.062861699960195,,23.038353399955668,26.031436300021596,None,1,W,V,,,,,,,,,,,,,,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
8,0,8,0,,,,,26.04625589994248,,26.0323866000399,29.031546900048852,['space'],1,W,W,[1.0870422000298277],[None],,,,,,,,,,,,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
9,0,9,0,,,,,29.05579609994311,,29.03388250002172,32.02806989999954,None,1,H,W,,,,,,,,,,,,,,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
,,,,,,,,,,,,,,,,,,32.09735549998004,35.475247299997136,space,3.3653856000164524,None,,,,,,,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
,,,,0,0,0,0,35.56136279995553,,,,,,,,,,,,,,,35.477386399987154,38.47330770001281,None,1,V,,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
,,,,1,0,1,0,38.502733499975875,,,,,,,,,,,,,,,38.47532029997092,41.47044519998599,None,1,G,,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
,,,,2,0,2,0,41.48375220003072,,,,,,,,,,,,,,,41.47225009999238,44.468618800048716,['space'],1,V,V,[1.1827579999808222],[None],198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
,,,,3,0,3,0,44.5007692000363,,,,,,,,,,,,,,,44.47152160003316,47.46553149993997,None,1,B,G,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
,,,,4,0,4,0,47.490267700050026,,,,,,,,,,,,,,,47.467292799963616,50.46284089994151,None,1,R,V,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
,,,,5,0,5,0,50.476220899960026,,,,,,,,,,,,,,,50.46457559999544,53.45968870003708,['space'],1,B,B,[0.6828449000604451],[None],198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
,,,,6,0,6,0,53.47375799994916,,,,,,,,,,,,,,,53.46123539994005,56.459007199970074,['space'],1,R,R,[0.9536728000966832],[None],198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
,,,,7,0,7,0,56.48975369997788,,,,,,,,,,,,,,,56.461434399941936,59.45662369998172,['space'],0,T,B,[1.055668200016953],[None],198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
,,,,8,0,8,0,59.47995229996741,,,,,,,,,,,,,,,59.45910490001552,62.45267959998455,None,1,I,R,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
,,,,9,0,9,0,62.477208200027235,,,,,,,,,,,,,,,62.454200500040315,65.45078840001952,None,1,E,T,,,198238,001,2023-10-25_10h48.23.618,experiment,2023.2.2,60.17415605157809,2023-10-25 10h48.31.811453 +0200,
