trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,1.1535458330035908,,None,1,K,,2,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
0,0,0,0,1,0,1,0,3.2485037920050672,,None,1,M,,2,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
0,0,0,0,2,0,2,0,5.31659337500605,,None,1,N,K,2,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
0,0,0,0,3,0,3,0,7.400009208002302,,None,1,F,M,2,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
0,0,0,0,4,0,4,0,9.489905417001864,,['space'],1,N,N,2,[1.1708545000001322],[None],103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
0,0,0,0,5,0,5,0,11.573199750004278,,['space'],1,F,F,2,[0.8039997090018005],[None],103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
0,0,0,0,6,0,6,0,13.658398083003704,,None,1,I,N,2,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
0,0,0,0,7,0,7,0,15.742883375001838,,['space'],1,F,F,2,[1.2108257090003463],[None],103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
0,0,0,0,8,0,8,0,17.828216042005806,,None,1,L,I,2,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
0,0,0,0,9,0,9,0,19.936085332999937,,None,1,Z,F,2,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
0,0,0,0,10,0,10,0,22.010758667005575,,None,0,L,L,2,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
0,0,0,0,11,0,11,0,24.097049875002995,,['space'],1,Z,Z,2,[1.1250857499981066],[None],103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
0,0,0,0,,,,,,,,,,,,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
1,0,1,0,0,0,0,0,26.867704458003573,,None,1,L,,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
1,0,1,0,1,0,1,0,28.958619249999174,,None,1,A,L,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
1,0,1,0,2,0,2,0,31.045497417006118,,None,1,Q,A,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
1,0,1,0,3,0,3,0,33.128815957999905,,None,1,O,Q,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
1,0,1,0,4,0,4,0,35.21681812500174,,None,1,T,O,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
1,0,1,0,5,0,5,0,37.300165083004686,,None,1,W,T,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
1,0,1,0,6,0,6,0,39.38360662500054,,None,1,E,W,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
1,0,1,0,7,0,7,0,41.47217387500132,,None,1,M,E,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
1,0,1,0,8,0,8,0,43.5558864170016,,None,1,Q,M,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
1,0,1,0,9,0,9,0,45.64021329200477,,None,1,P,Q,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
1,0,1,0,10,0,10,0,47.734734875004506,,None,1,M,P,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
1,0,1,0,11,0,11,0,49.817939874999865,,None,1,K,M,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
1,0,1,0,,,,,,,,,,,,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
2,0,2,0,0,0,0,0,52.44598670800042,,None,1,Z,,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
2,0,2,0,1,0,1,0,54.5262967919989,,None,1,A,Z,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
2,0,2,0,2,0,2,0,56.613794667006005,,None,1,F,A,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
2,0,2,0,3,0,3,0,58.71516891700594,,None,1,G,F,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
2,0,2,0,4,0,4,0,60.78047745799995,,None,1,N,G,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
2,0,2,0,5,0,5,0,62.863759833002405,,None,1,I,N,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
2,0,2,0,6,0,6,0,64.9508093330005,,None,1,H,I,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
2,0,2,0,7,0,7,0,67.03464333300508,,None,1,G,H,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
2,0,2,0,8,0,8,0,69.11843916700309,,None,1,I,G,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
2,0,2,0,9,0,9,0,71.20614179200493,,None,1,V,I,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
2,0,2,0,10,0,10,0,73.30057300000044,,None,1,Z,V,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
2,0,2,0,11,0,11,0,75.38570220800466,,None,1,D,Z,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
2,0,2,0,,,,,,,,,,,,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
3,0,3,0,0,0,0,0,78.05281749999995,,None,1,F,,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
3,0,3,0,1,0,1,0,80.12745095800346,,None,1,V,F,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
3,0,3,0,2,0,2,0,82.21080637500563,,None,1,J,V,1,,,103,brown,2023-11-05_20h14.27.259,experiment,2023.2.2,None,2023-11-05 20h14.34.973846 +0100,
