trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,26.57679962500697,,None,1,T,,1,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
0,0,0,0,1,0,1,0,28.65740537500824,,None,1,Y,T,1,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
0,0,0,0,2,0,2,0,30.74021016700135,,['space'],1,Y,Y,1,[0.4806338750058785],[None],105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
0,0,0,0,3,0,3,0,32.82417641700886,,['space'],1,Y,Y,1,[0.502171833999455],[None],105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
0,0,0,0,4,0,4,0,34.9153817089973,,None,1,L,Y,1,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
0,0,0,0,5,0,5,0,37.00547366699902,,['space'],1,L,L,1,[0.41357554199930746],[None],105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
0,0,0,0,6,0,6,0,39.08861825001077,,None,1,V,L,1,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
0,0,0,0,7,0,7,0,41.18065879200003,,None,1,D,V,1,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
0,0,0,0,8,0,8,0,43.26525587499782,,None,1,W,D,1,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
0,0,0,0,9,0,9,0,45.35242841699801,,['space'],1,W,W,1,[0.5228273749962682],[None],105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
0,0,0,0,10,0,10,0,47.443883583997376,,None,1,B,W,1,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
0,0,0,0,11,0,11,0,49.53444195899647,,['space'],1,B,B,1,[0.5063363749941345],[None],105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
0,0,0,0,,,,,,,,,,,,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
1,0,1,0,0,0,0,0,54.92962870899646,,None,1,M,,2,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
1,0,1,0,1,0,1,0,57.011783624999225,,None,1,O,,2,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
1,0,1,0,2,0,2,0,59.09801420899748,,None,1,A,M,2,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
1,0,1,0,3,0,3,0,61.19370929199795,,None,1,Q,O,2,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
1,0,1,0,4,0,4,0,63.28475541700027,,None,1,Y,A,2,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
1,0,1,0,5,0,5,0,65.36457579200214,,None,1,H,Q,2,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
1,0,1,0,6,0,6,0,67.45559712500835,,None,1,P,Y,2,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
1,0,1,0,7,0,7,0,69.53867133399763,,None,1,W,H,2,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
1,0,1,0,8,0,8,0,71.62030766700627,,None,1,B,P,2,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
1,0,1,0,9,0,9,0,73.71385779199773,,None,1,M,W,2,,,105,pink,2023-11-07_13h42.36.166,experiment,2023.2.2,None,2023-11-07 13h42.46.744952 +0100,
