trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,3.063467166997725,,None,1,K,,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
0,0,0,0,1,0,1,0,5.150232624990167,,None,1,P,,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
0,0,0,0,2,0,2,0,7.234860208991449,,['space'],1,K,K,2,[0.8084917499945732],[None],105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
0,0,0,0,3,0,3,0,9.324600166990422,,None,1,K,P,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
0,0,0,0,4,0,4,0,11.410420333995717,,['space'],1,K,K,2,[0.46670750000339467],[None],105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
0,0,0,0,5,0,5,0,13.501495249991422,,None,1,Q,K,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
0,0,0,0,6,0,6,0,15.585171708997223,,None,1,G,K,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
0,0,0,0,7,0,7,0,17.678267999988748,,['space'],1,Q,Q,2,[0.5846614170004614],[None],105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
0,0,0,0,8,0,8,0,19.772467749993666,,None,1,Y,G,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
0,0,0,0,9,0,9,0,21.86233145899314,,None,0,Q,Q,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
0,0,0,0,10,0,10,0,23.940421208986663,,None,1,P,Y,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
0,0,0,0,11,0,11,0,26.027734584000427,,None,1,Y,Q,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
0,0,0,0,,,,,,,,,,,,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
1,0,1,0,0,0,0,0,29.750962749996688,,None,1,P,,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
1,0,1,0,1,0,1,0,31.83468504199118,,None,1,I,,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
1,0,1,0,2,0,2,0,33.93737145898922,,None,1,Z,P,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
1,0,1,0,3,0,3,0,36.02080516699061,,None,1,F,I,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
1,0,1,0,4,0,4,0,38.089765500000794,,None,1,T,Z,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
1,0,1,0,5,0,5,0,40.19579329199041,,None,1,S,F,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
1,0,1,0,6,0,6,0,42.287477666992345,,None,1,J,T,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
1,0,1,0,7,0,7,0,44.35622587498801,,None,1,U,S,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
1,0,1,0,8,0,8,0,46.45448991699959,,None,1,W,J,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
1,0,1,0,9,0,9,0,48.535901791998185,,None,1,I,U,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
1,0,1,0,10,0,10,0,50.62239187498926,,None,1,B,W,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
1,0,1,0,11,0,11,0,52.709260208997875,,None,1,V,I,2,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
1,0,1,0,,,,,,,,,,,,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
2,0,2,0,0,0,0,0,55.99400524998782,,None,1,W,,1,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
2,0,2,0,1,0,1,0,58.08320491699851,,None,1,U,W,1,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
2,0,2,0,2,0,2,0,60.16741758398712,,None,1,X,U,1,,,105,silence,2023-11-07_13h52.38.388,experiment,2023.2.2,None,2023-11-07 13h52.49.122100 +0100,
