trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,5.572641699996893,,None,1,T,,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
0,0,0,0,1,0,1,0,7.670894100003352,,None,1,F,T,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
0,0,0,0,2,0,2,0,9.772571399997105,,None,1,N,F,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
0,0,0,0,3,0,3,0,11.870922200003406,,['space'],1,N,N,1,[0.7052216000010958],[None],548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
0,0,0,0,4,0,4,0,13.970525999997335,,None,1,X,N,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
0,0,0,0,5,0,5,0,16.070721800002502,,['space'],1,X,X,1,[0.7483486999990419],[None],548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
0,0,0,0,6,0,6,0,18.171348900003068,,None,1,B,X,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
0,0,0,0,7,0,7,0,20.270400399997015,,['space'],1,B,B,1,[0.5520879000032437],[None],548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
0,0,0,0,8,0,8,0,22.37044109999988,,None,1,N,B,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
0,0,0,0,9,0,9,0,24.470075400000496,,None,1,R,N,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
0,0,0,0,10,0,10,0,26.57006939999701,,None,1,B,R,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
0,0,0,0,11,0,11,0,28.670443199996953,,['space'],1,B,B,1,[0.6461670999997295],[None],548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
0,0,0,0,,,,,,,,,,,,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
1,0,1,0,0,0,0,0,31.75340259999939,,None,1,I,,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
1,0,1,0,1,0,1,0,33.85301449999679,,None,1,Y,,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
1,0,1,0,2,0,2,0,35.95297279999795,,None,1,U,I,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
1,0,1,0,3,0,3,0,38.05271199999697,,None,1,Q,Y,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
1,0,1,0,4,0,4,0,40.15293460000248,,None,1,A,U,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
1,0,1,0,5,0,5,0,42.252974499999254,,None,1,T,Q,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
1,0,1,0,6,0,6,0,44.35281640000176,,None,1,C,A,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
1,0,1,0,7,0,7,0,46.45267669999885,,None,1,Q,T,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
1,0,1,0,8,0,8,0,48.55308179999702,,None,1,O,C,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
1,0,1,0,9,0,9,0,50.65224049999961,,None,1,S,Q,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
1,0,1,0,10,0,10,0,52.735659199999645,,None,1,Y,O,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
1,0,1,0,11,0,11,0,54.83635179999692,,None,1,W,S,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
1,0,1,0,,,,,,,,,,,,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
2,0,2,0,0,0,0,0,58.16985510000086,,None,1,M,,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
2,0,2,0,1,0,1,0,60.26905689999694,,None,1,I,,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
2,0,2,0,2,0,2,0,62.36884049999935,,None,1,O,M,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
2,0,2,0,3,0,3,0,64.46837650000089,,None,1,E,I,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
2,0,2,0,4,0,4,0,66.56832140000188,,None,1,R,O,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
2,0,2,0,5,0,5,0,68.66804019999836,,None,1,Y,E,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
2,0,2,0,6,0,6,0,70.76780639999924,,None,1,K,R,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
2,0,2,0,7,0,7,0,72.86803730000247,,None,1,I,Y,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
2,0,2,0,8,0,8,0,74.96783700000378,,None,1,D,K,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
2,0,2,0,9,0,9,0,77.0680818999972,,None,1,K,I,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
2,0,2,0,10,0,10,0,79.1678516000029,,None,1,Q,D,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
2,0,2,0,11,0,11,0,81.26899879999837,,None,1,J,K,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
2,0,2,0,,,,,,,,,,,,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
3,0,3,0,0,0,0,0,84.38420629999746,,None,1,Q,,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
3,0,3,0,1,0,1,0,86.48405710000225,,None,1,I,,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
3,0,3,0,2,0,2,0,88.58401720000256,,None,1,O,Q,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
3,0,3,0,3,0,3,0,90.6836164999986,,None,1,Q,I,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
3,0,3,0,4,0,4,0,92.78358979999757,,None,1,L,O,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
3,0,3,0,5,0,5,0,94.88356840000051,,None,1,A,Q,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
3,0,3,0,6,0,6,0,96.98343390000082,,None,1,F,L,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
3,0,3,0,7,0,7,0,99.08349189999717,,None,1,O,A,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
3,0,3,0,8,0,8,0,101.18326330000127,,['space'],1,F,F,2,[0.5877137999996194],[None],548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
3,0,3,0,9,0,9,0,103.28285160000087,,None,1,P,O,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
3,0,3,0,10,0,10,0,105.38282410000102,,None,1,Z,F,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
3,0,3,0,11,0,11,0,107.48319199999969,,None,1,U,P,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
3,0,3,0,,,,,,,,,,,,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
4,0,4,0,0,0,0,0,110.36637809999957,,None,1,B,,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
4,0,4,0,1,0,1,0,112.46649430000252,,None,1,K,B,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
4,0,4,0,2,0,2,0,114.56649599999946,,None,1,U,K,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
4,0,4,0,3,0,3,0,116.66636380000273,,None,1,Z,U,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
4,0,4,0,4,0,4,0,118.76600870000402,,None,1,L,Z,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
4,0,4,0,5,0,5,0,120.86560399999871,,None,1,V,L,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
4,0,4,0,6,0,6,0,122.96588409999822,,None,1,U,V,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
4,0,4,0,7,0,7,0,125.06583099999989,,None,1,V,U,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
4,0,4,0,8,0,8,0,127.16558970000187,,None,1,H,V,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
4,0,4,0,9,0,9,0,129.26557989999856,,None,1,D,H,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
4,0,4,0,10,0,10,0,131.3654916000014,,None,1,Y,D,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
4,0,4,0,11,0,11,0,133.46535430000222,,None,1,G,Y,1,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
4,0,4,0,,,,,,,,,,,,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
5,0,5,0,0,0,0,0,136.24900809999963,,None,1,V,,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
5,0,5,0,1,0,1,0,138.34869540000363,,None,1,L,,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
5,0,5,0,2,0,2,0,140.44839520000096,,None,1,C,V,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
5,0,5,0,3,0,3,0,142.54836490000162,,None,1,A,L,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
5,0,5,0,4,0,4,0,144.6485055000012,,None,1,H,C,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
5,0,5,0,5,0,5,0,146.74796980000247,,None,1,L,A,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
5,0,5,0,6,0,6,0,148.84831519999716,,None,1,E,H,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
5,0,5,0,7,0,7,0,150.93104760000278,,None,1,N,L,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
5,0,5,0,8,0,8,0,153.0308905999991,,None,1,U,E,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
5,0,5,0,9,0,9,0,155.1310100999981,,None,1,B,N,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
5,0,5,0,10,0,10,0,157.23073750000185,,None,1,R,U,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
5,0,5,0,11,0,11,0,159.33074099999794,,None,1,Z,B,2,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
5,0,5,0,,,,,,,,,,,,,,548792,brown,2023-11-08_10h58.18.500,experiment,2023.2.2,59.91967168771019,2023-11-08 10h58.35.978560 +0100,
