trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,4.257707899999332,,None,1,F,,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
0,0,0,0,1,0,1,0,6.356321399999615,,None,1,S,F,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
0,0,0,0,2,0,2,0,8.456049200000052,,None,1,H,S,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
0,0,0,0,3,0,3,0,10.555724400000145,,None,1,E,H,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
0,0,0,0,4,0,4,0,12.655785399999331,,['space'],1,E,E,1,[0.9170881999998528],[None],818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
0,0,0,0,5,0,5,0,14.757369500000095,,None,1,W,E,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
0,0,0,0,6,0,6,0,16.855628700000125,,None,1,N,W,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
0,0,0,0,7,0,7,0,18.955618500000128,,None,1,X,N,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
0,0,0,0,8,0,8,0,21.055677499999547,,['space'],1,X,X,1,[0.8773764999996274],[None],818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
0,0,0,0,9,0,9,0,23.155619600000136,,['space'],1,X,X,1,[0.7076833999999508],[None],818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
0,0,0,0,10,0,10,0,25.255592200000137,,None,1,R,X,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
0,0,0,0,11,0,11,0,27.35528609999983,,['space'],1,R,R,1,[0.6810949000000619],[None],818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
0,0,0,0,,,,,,,,,,,,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
1,0,1,0,0,0,0,0,31.47181399999954,,None,1,J,,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
1,0,1,0,1,0,1,0,33.571604699999625,,None,1,F,J,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
1,0,1,0,2,0,2,0,35.67137629999979,,None,1,G,F,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
1,0,1,0,3,0,3,0,37.77147679999962,,None,1,X,G,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
1,0,1,0,4,0,4,0,39.871493499999815,,None,1,J,X,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
1,0,1,0,5,0,5,0,41.9711698000001,,None,1,O,J,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
1,0,1,0,6,0,6,0,44.070992099999785,,None,1,A,O,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
1,0,1,0,7,0,7,0,46.17081580000013,,None,1,Y,A,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
1,0,1,0,8,0,8,0,48.27087029999984,,['space'],1,Y,Y,1,[0.5852272000001904],[None],818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
1,0,1,0,9,0,9,0,50.37067759999991,,None,1,P,Y,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
1,0,1,0,10,0,10,0,52.47074749999956,,['space'],1,P,P,1,[0.5282725000006394],[None],818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
1,0,1,0,11,0,11,0,54.57068530000015,,None,1,W,P,1,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
1,0,1,0,,,,,,,,,,,,,,818597,pink,2023-11-07_23h03.29.904,experiment,2023.2.2,60.06161120067282,2023-11-07 23h04.15.517094 +0100,
