trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,4.008271799997601,,None,1,P,,1,,,839726,silence,2023-11-08_09h29.46.590,experiment,2023.2.2,59.97005095801938,2023-11-08 09h30.23.519258 +0100,
0,0,0,0,1,0,1,0,6.108158600000024,,None,1,X,P,1,,,839726,silence,2023-11-08_09h29.46.590,experiment,2023.2.2,59.97005095801938,2023-11-08 09h30.23.519258 +0100,
0,0,0,0,2,0,2,0,8.208110899999156,,['space'],1,X,X,1,[0.4992779000021983],[None],839726,silence,2023-11-08_09h29.46.590,experiment,2023.2.2,59.97005095801938,2023-11-08 09h30.23.519258 +0100,
0,0,0,0,3,0,3,0,10.309153599999263,,None,1,A,X,1,,,839726,silence,2023-11-08_09h29.46.590,experiment,2023.2.2,59.97005095801938,2023-11-08 09h30.23.519258 +0100,
0,0,0,0,4,0,4,0,12.407982299999276,,None,1,P,A,1,,,839726,silence,2023-11-08_09h29.46.590,experiment,2023.2.2,59.97005095801938,2023-11-08 09h30.23.519258 +0100,
0,0,0,0,5,0,5,0,14.507773700002872,,None,1,X,P,1,,,839726,silence,2023-11-08_09h29.46.590,experiment,2023.2.2,59.97005095801938,2023-11-08 09h30.23.519258 +0100,
0,0,0,0,6,0,6,0,16.607228699998814,,None,1,Z,X,1,,,839726,silence,2023-11-08_09h29.46.590,experiment,2023.2.2,59.97005095801938,2023-11-08 09h30.23.519258 +0100,
0,0,0,0,7,0,7,0,18.70742639999662,,['space'],1,Z,Z,1,[0.67157330000191],[None],839726,silence,2023-11-08_09h29.46.590,experiment,2023.2.2,59.97005095801938,2023-11-08 09h30.23.519258 +0100,
0,0,0,0,8,0,8,0,20.80750860000262,,['space'],1,Z,Z,1,[0.5518793999945046],[None],839726,silence,2023-11-08_09h29.46.590,experiment,2023.2.2,59.97005095801938,2023-11-08 09h30.23.519258 +0100,
0,0,0,0,9,0,9,0,22.907405700003437,,['space'],1,Z,Z,1,[0.5726720000020578],[None],839726,silence,2023-11-08_09h29.46.590,experiment,2023.2.2,59.97005095801938,2023-11-08 09h30.23.519258 +0100,
