trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,7.643392500000118,,None,1,A,,2,,,301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
0,0,0,0,1,0,1,0,9.741773500000136,,None,1,T,,2,,,301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
0,0,0,0,2,0,2,0,11.840027300000202,,['space'],1,A,A,2,[0.4824450999999499],[None],301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
0,0,0,0,3,0,3,0,13.938222900000028,,None,1,W,T,2,,,301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
0,0,0,0,4,0,4,0,16.03665070000011,,None,1,S,A,2,,,301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
0,0,0,0,5,0,5,0,18.13475140000014,,['space'],1,W,W,2,[0.44359220000001187],[None],301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
0,0,0,0,6,0,6,0,20.233041300000195,,None,1,H,S,2,,,301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
0,0,0,0,7,0,7,0,22.331307600000173,,['space'],1,W,W,2,[0.45775460000004387],[None],301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
0,0,0,0,8,0,8,0,24.429926600000044,,None,1,D,H,2,,,301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
0,0,0,0,9,0,9,0,26.528105100000175,,None,1,G,W,2,,,301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
0,0,0,0,10,0,10,0,28.626195499999994,,None,1,Z,D,2,,,301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
0,0,0,0,11,0,11,0,30.724618500000133,,['space'],1,G,G,2,[0.5751040000000103],[None],301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
0,0,0,0,,,,,,,,,,,,,,301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
1,0,1,0,0,0,0,0,34.42147410000007,,None,1,Z,,1,,,301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
1,0,1,0,1,0,1,0,36.51968170000009,,['space'],1,Z,Z,1,[0.46119009999983973],[None],301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
1,0,1,0,2,0,2,0,38.61794860000009,,None,1,G,Z,1,,,301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
1,0,1,0,3,0,3,0,40.71623629999999,,None,1,B,G,1,,,301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
1,0,1,0,4,0,4,0,42.81459740000014,,None,1,S,B,1,,,301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
1,0,1,0,5,0,5,0,44.912801100000024,,['space'],1,S,S,1,[0.6274889999999687],[None],301,silence,2023-11-15_17h02.21.534,experiment,2023.2.2,59.97166938335392,2023-11-15 17h02.43.265710 +0100,
