trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,18.331392199994298,,None,1,J,,2,,,305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
0,0,0,0,1,0,1,0,20.426617199991597,,None,1,F,,2,,,305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
0,0,0,0,2,0,2,0,22.524166499992134,,['space'],1,J,J,2,[0.3959143999963999],[None],305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
0,0,0,0,3,0,3,0,24.62232429999858,,None,1,R,F,2,,,305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
0,0,0,0,4,0,4,0,26.72069199998805,,None,1,X,J,2,,,305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
0,0,0,0,5,0,5,0,28.818886799999746,,None,1,B,R,2,,,305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
0,0,0,0,6,0,6,0,30.917305499999202,,None,1,I,X,2,,,305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
0,0,0,0,7,0,7,0,33.01550199999474,,['space'],1,B,B,2,[0.4358760000031907],[None],305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
0,0,0,0,8,0,8,0,35.113841200000024,,['space'],1,I,I,2,[0.6455044999893289],[None],305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
0,0,0,0,9,0,9,0,37.212238099993556,,None,1,R,B,2,,,305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
0,0,0,0,10,0,10,0,39.31036109999695,,None,1,U,I,2,,,305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
0,0,0,0,11,0,11,0,41.411463599986746,,None,1,V,R,2,,,305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
0,0,0,0,,,,,,,,,,,,,,305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
1,0,1,0,0,0,0,0,44.57277279999107,,None,1,U,,1,,,305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
1,0,1,0,1,0,1,0,46.67087809999066,,['space'],1,U,U,1,[0.4392942000122275],[None],305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
1,0,1,0,2,0,2,0,48.769199599992135,,None,1,V,U,1,,,305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
1,0,1,0,3,0,3,0,50.86760269998922,,['space'],1,V,V,1,[0.5404894000093918],[None],305,brown,2023-11-16_20h51.51.220,experiment,2023.2.2,60.070955814826206,2023-11-16 20h52.13.621941 +0100,
