trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,0.9383525000012014,,['space'],0,[0.1925694000092335],[None],N,,2,307,brown,2023-11-21_18h12.09.436,experiment,2023.2.2,59.89454966000111,2023-11-21 18h12.39.498030 +0100,
0,0,0,0,1,0,1,0,3.0363391999999294,,None,1,,,Q,,2,307,brown,2023-11-21_18h12.09.436,experiment,2023.2.2,59.89454966000111,2023-11-21 18h12.39.498030 +0100,
0,0,0,0,2,0,2,0,5.1346036000031745,,None,1,,,A,N,2,307,brown,2023-11-21_18h12.09.436,experiment,2023.2.2,59.89454966000111,2023-11-21 18h12.39.498030 +0100,
0,0,0,0,3,0,3,0,7.232944700008375,,None,1,,,I,Q,2,307,brown,2023-11-21_18h12.09.436,experiment,2023.2.2,59.89454966000111,2023-11-21 18h12.39.498030 +0100,
0,0,0,0,4,0,4,0,9.331375300011132,,['space'],1,[0.4513264999986859],[None],A,A,2,307,brown,2023-11-21_18h12.09.436,experiment,2023.2.2,59.89454966000111,2023-11-21 18h12.39.498030 +0100,
0,0,0,0,5,0,5,0,11.429628300000331,,None,1,,,Z,I,2,307,brown,2023-11-21_18h12.09.436,experiment,2023.2.2,59.89454966000111,2023-11-21 18h12.39.498030 +0100,
0,0,0,0,6,0,6,0,13.527747200001613,,None,1,,,Z,A,2,307,brown,2023-11-21_18h12.09.436,experiment,2023.2.2,59.89454966000111,2023-11-21 18h12.39.498030 +0100,
0,0,0,0,7,0,7,0,15.626197900011903,,None,1,,,T,Z,2,307,brown,2023-11-21_18h12.09.436,experiment,2023.2.2,59.89454966000111,2023-11-21 18h12.39.498030 +0100,
0,0,0,0,8,0,8,0,17.72430539999914,,['space'],1,[0.6091071999981068],[None],Z,Z,2,307,brown,2023-11-21_18h12.09.436,experiment,2023.2.2,59.89454966000111,2023-11-21 18h12.39.498030 +0100,
0,0,0,0,9,0,9,0,19.822639000005438,,None,1,,,F,T,2,307,brown,2023-11-21_18h12.09.436,experiment,2023.2.2,59.89454966000111,2023-11-21 18h12.39.498030 +0100,
0,0,0,0,10,0,10,0,21.920815400007996,,['space'],1,[0.524245399996289],[None],Z,Z,2,307,brown,2023-11-21_18h12.09.436,experiment,2023.2.2,59.89454966000111,2023-11-21 18h12.39.498030 +0100,
0,0,0,0,11,0,11,0,24.019336500001373,,['space'],1,[0.494839699997101],[None],F,F,2,307,brown,2023-11-21_18h12.09.436,experiment,2023.2.2,59.89454966000111,2023-11-21 18h12.39.498030 +0100,
0,0,0,0,,,,,,,,,,,,,,307,brown,2023-11-21_18h12.09.436,experiment,2023.2.2,59.89454966000111,2023-11-21 18h12.39.498030 +0100,
1,0,1,0,0,0,0,0,26.916799500002526,,None,1,,,B,,2,307,brown,2023-11-21_18h12.09.436,experiment,2023.2.2,59.89454966000111,2023-11-21 18h12.39.498030 +0100,
