trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,1.4855051659978926,,None,1,L,,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
0,0,0,0,1,0,1,0,3.5652001660200767,,None,1,F,,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
0,0,0,0,2,0,2,0,5.655008249974344,,['space'],1,L,L,2,[0.8141363330068998],[None],200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
0,0,0,0,3,0,3,0,7.7398465409642085,,None,1,W,F,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
0,0,0,0,4,0,4,0,9.830223665980157,,['space'],1,L,L,2,[0.5241843750118278],[None],200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
0,0,0,0,5,0,5,0,11.91599062498426,,None,1,M,W,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
0,0,0,0,6,0,6,0,14.0047737499699,,['space'],1,L,L,2,[0.735197292000521],[None],200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
0,0,0,0,7,0,7,0,16.094797166006174,,None,1,C,M,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
0,0,0,0,8,0,8,0,18.182340374973137,,None,1,H,L,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
0,0,0,0,9,0,9,0,20.263864332984667,,['space'],1,C,C,2,[0.6878311249893159],[None],200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
0,0,0,0,10,0,10,0,22.350629874970764,,None,1,P,H,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
0,0,0,0,11,0,11,0,24.442472541006282,,['space'],1,C,C,2,[0.5451089999987744],[None],200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
0,0,0,0,,,,,,,,,,,,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
1,0,1,0,0,0,0,0,27.30812383297598,,None,1,H,,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
1,0,1,0,1,0,1,0,29.39421683299588,,None,1,U,,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
1,0,1,0,2,0,2,0,31.477742290997412,,None,1,Q,H,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
1,0,1,0,3,0,3,0,33.57225724996533,,['space'],0,Q,U,2,[1.6710167909623124],[None],200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
1,0,1,0,4,0,4,0,35.67617920797784,,None,1,J,Q,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
1,0,1,0,5,0,5,0,37.749821249977686,,None,0,Q,Q,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
1,0,1,0,6,0,6,0,39.8413395829848,,['space'],1,J,J,2,[0.5698469170019962],[None],200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
1,0,1,0,7,0,7,0,41.92560675001005,,['space'],1,Q,Q,2,[0.9722434579744004],[None],200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
1,0,1,0,8,0,8,0,44.01736820797669,,None,1,M,J,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
1,0,1,0,9,0,9,0,46.09557137498632,,None,0,Q,Q,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
1,0,1,0,10,0,10,0,48.182704249979,,None,1,V,M,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
1,0,1,0,11,0,11,0,50.27116775000468,,None,0,Q,Q,2,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
1,0,1,0,,,,,,,,,,,,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
2,0,2,0,0,0,0,0,53.02966179099167,,None,1,K,,1,,,200,silence,2023-11-18_15h23.02.231,experiment,2023.2.2,None,2023-11-18 15h23.17.600331 +0100,
