trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,1.1521686670021154,,None,1,E,,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
0,0,0,0,1,0,1,0,3.239186624996364,,None,1,H,,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
0,0,0,0,2,0,2,0,5.334354749997146,,None,1,J,E,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
0,0,0,0,3,0,3,0,7.417828583042137,,None,1,L,H,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
0,0,0,0,4,0,4,0,9.50782216701191,,['space'],1,J,J,2,[0.5073447080212645],[None],201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
0,0,0,0,5,0,5,0,11.601894667022862,,None,1,D,L,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
0,0,0,0,6,0,6,0,13.689541125029791,,None,1,G,J,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
0,0,0,0,7,0,7,0,15.774274791998323,,['space'],1,D,D,2,[1.2097810420091264],[None],201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
0,0,0,0,8,0,8,0,17.870725458022207,,['space'],1,G,G,2,[0.8181113339960575],[None],201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
0,0,0,0,9,0,9,0,19.953732374997344,,['space'],1,D,D,2,[0.46529658301733434],[None],201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
0,0,0,0,10,0,10,0,22.046647042036057,,None,1,J,G,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
0,0,0,0,11,0,11,0,24.13006699999096,,['space'],1,D,D,2,[0.6447789579979144],[None],201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
0,0,0,0,,,,,,,,,,,,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
1,0,1,0,0,0,0,0,26.842363042000216,,None,1,F,,1,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
1,0,1,0,1,0,1,0,28.922658167022746,,['space'],1,F,F,1,[0.6068839159561321],[None],201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
1,0,1,0,2,0,2,0,31.01682775001973,,None,1,J,F,1,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
1,0,1,0,3,0,3,0,33.10274466703413,,['space'],1,J,J,1,[0.4884277500095777],[None],201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
1,0,1,0,4,0,4,0,35.18974762503058,,None,1,Y,J,1,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
1,0,1,0,5,0,5,0,37.280833333032206,,None,1,W,Y,1,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
1,0,1,0,6,0,6,0,39.36996400001226,,None,1,G,W,1,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
1,0,1,0,7,0,7,0,41.46424141700845,,None,1,B,G,1,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
1,0,1,0,8,0,8,0,43.554989958007354,,None,1,F,B,1,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
1,0,1,0,9,0,9,0,45.635299667017534,,None,1,U,F,1,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
1,0,1,0,10,0,10,0,47.71906912501436,,None,1,T,U,1,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
1,0,1,0,11,0,11,0,49.809542958042584,,['space'],1,T,T,1,[1.0260853330255486],[None],201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
1,0,1,0,,,,,,,,,,,,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
2,0,2,0,0,0,0,0,53.16010716703022,,None,1,H,,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
2,0,2,0,1,0,1,0,55.24705058301333,,None,1,V,,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
2,0,2,0,2,0,2,0,57.328308875032235,,None,1,J,H,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
2,0,2,0,3,0,3,0,59.4115867500077,,None,1,L,V,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
2,0,2,0,4,0,4,0,61.50360133301001,,['space'],1,J,J,2,[0.8713511669775471],[None],201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
2,0,2,0,5,0,5,0,63.58881000004476,,None,1,Z,L,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
2,0,2,0,6,0,6,0,65.67022066703066,,None,0,J,J,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
2,0,2,0,7,0,7,0,67.75777479202952,,['space'],1,Z,Z,2,[0.592250875022728],[None],201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
2,0,2,0,8,0,8,0,69.84352479199879,,None,1,R,J,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
2,0,2,0,9,0,9,0,71.93528412503656,,None,1,X,Z,2,,,201,pink,2023-11-18_18h27.09.652,experiment,2023.2.2,None,2023-11-18 18h27.26.148442 +0100,
