trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,3.9419866660027765,,None,1,U,,1,,,202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
0,0,0,0,1,0,1,0,6.029563957999926,,['space'],1,U,U,1,[0.4246775420033373],[None],202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
0,0,0,0,2,0,2,0,8.109123791044112,,None,1,Z,U,1,,,202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
0,0,0,0,3,0,3,0,10.20323758298764,,['space'],1,Z,Z,1,[0.5894757499918342],[None],202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
0,0,0,0,4,0,4,0,12.286046166031156,,None,1,L,Z,1,,,202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
0,0,0,0,5,0,5,0,14.36999974999344,,['space'],1,L,L,1,[0.43930299999192357],[None],202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
0,0,0,0,6,0,6,0,16.456875541014597,,None,1,Q,L,1,,,202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
0,0,0,0,7,0,7,0,18.550012708001304,,None,1,B,Q,1,,,202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
0,0,0,0,8,0,8,0,20.657582374988124,,None,1,V,B,1,,,202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
0,0,0,0,9,0,9,0,22.723288999986835,,None,1,Z,V,1,,,202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
0,0,0,0,10,0,10,0,24.80822825001087,,None,1,M,Z,1,,,202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
0,0,0,0,11,0,11,0,26.89279054099461,,None,1,K,M,1,,,202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
0,0,0,0,,,,,,,,,,,,,,202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
1,0,1,0,0,0,0,0,31.110998290998396,,None,1,N,,1,,,202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
1,0,1,0,1,0,1,0,33.20327350002481,,['space'],1,N,N,1,[0.6425889580277726],[None],202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
1,0,1,0,2,0,2,0,35.28802174999146,,None,1,E,N,1,,,202,brown,2023-11-19_18h25.09.124,experiment,2023.2.2,None,2023-11-19 18h25.16.742901 +0100,
