trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,4.481990499999938,,None,1,X,,2,,,364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
0,0,0,0,1,0,1,0,6.580930999999964,,None,1,Q,,2,,,364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
0,0,0,0,2,0,2,0,8.67967359999966,,None,1,P,X,2,,,364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
0,0,0,0,3,0,3,0,10.779587199999696,,['space'],1,Q,Q,2,[0.39701460000014777],[None],364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
0,0,0,0,4,0,4,0,12.879363900000044,,['space'],1,P,P,2,[0.4014147000002595],[None],364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
0,0,0,0,5,0,5,0,14.979219999999714,,None,1,N,Q,2,,,364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
0,0,0,0,6,0,6,0,17.0790978,,None,1,N,P,2,,,364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
0,0,0,0,7,0,7,0,19.17893409999988,,None,1,E,N,2,,,364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
0,0,0,0,8,0,8,0,21.278891799999656,,['space'],1,N,N,2,[0.40390160000015385],[None],364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
0,0,0,0,9,0,9,0,23.379078599999957,,['space'],1,E,E,2,[0.6876962000001186],[None],364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
0,0,0,0,10,0,10,0,25.48118859999977,,None,1,K,N,2,,,364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
0,0,0,0,11,0,11,0,27.57863989999987,,['space'],1,E,E,2,[0.38011550000010175],[None],364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
0,0,0,0,,,,,,,,,,,,,,364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
1,0,1,0,0,0,0,0,30.566917099999955,,None,1,Z,,1,,,364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
1,0,1,0,1,0,1,0,32.66192060000003,,None,1,P,Z,1,,,364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
1,0,1,0,2,0,2,0,34.76180780000004,,None,1,Y,P,1,,,364109,brown,2023-11-15_22h51.39.329,experiment,2023.2.2,59.941257567704696,2023-11-15 22h51.58.605274 +0100,
