trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,3.0403464000000895,,None,1,S,,1,,,364109,pink,2023-11-15_22h41.01.532,experiment,2023.2.2,59.88411226594687,2023-11-15 22h41.30.001117 +0100,
0,0,0,0,1,0,1,0,5.128726099999994,,['space'],1,S,S,1,[0.45396660000005795],[None],364109,pink,2023-11-15_22h41.01.532,experiment,2023.2.2,59.88411226594687,2023-11-15 22h41.30.001117 +0100,
0,0,0,0,2,0,2,0,7.228784399999995,,None,1,G,S,1,,,364109,pink,2023-11-15_22h41.01.532,experiment,2023.2.2,59.88411226594687,2023-11-15 22h41.30.001117 +0100,
0,0,0,0,3,0,3,0,9.328615100000206,,None,1,U,G,1,,,364109,pink,2023-11-15_22h41.01.532,experiment,2023.2.2,59.88411226594687,2023-11-15 22h41.30.001117 +0100,
0,0,0,0,4,0,4,0,11.428451300000006,,None,1,H,U,1,,,364109,pink,2023-11-15_22h41.01.532,experiment,2023.2.2,59.88411226594687,2023-11-15 22h41.30.001117 +0100,
0,0,0,0,5,0,5,0,13.528563900000108,,None,1,W,H,1,,,364109,pink,2023-11-15_22h41.01.532,experiment,2023.2.2,59.88411226594687,2023-11-15 22h41.30.001117 +0100,
0,0,0,0,6,0,6,0,15.628358800000115,,['space'],1,W,W,1,[0.3905956999999489],[None],364109,pink,2023-11-15_22h41.01.532,experiment,2023.2.2,59.88411226594687,2023-11-15 22h41.30.001117 +0100,
0,0,0,0,7,0,7,0,17.728417100000115,,['space'],1,W,W,1,[0.4505997999999636],[None],364109,pink,2023-11-15_22h41.01.532,experiment,2023.2.2,59.88411226594687,2023-11-15 22h41.30.001117 +0100,
0,0,0,0,8,0,8,0,19.828232900000103,,['space'],1,W,W,1,[0.41188050000005205],[None],364109,pink,2023-11-15_22h41.01.532,experiment,2023.2.2,59.88411226594687,2023-11-15 22h41.30.001117 +0100,
0,0,0,0,9,0,9,0,21.9292011,,None,1,O,W,1,,,364109,pink,2023-11-15_22h41.01.532,experiment,2023.2.2,59.88411226594687,2023-11-15 22h41.30.001117 +0100,
0,0,0,0,10,0,10,0,24.02806480000004,,None,1,R,O,1,,,364109,pink,2023-11-15_22h41.01.532,experiment,2023.2.2,59.88411226594687,2023-11-15 22h41.30.001117 +0100,
