trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,nback.routineEndVal,type.routineEndVal,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,2.384478599999966,,None,1,V,,1,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
0,0,0,0,1,0,1,0,4.483301499999925,,None,1,Z,V,1,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
0,0,0,0,2,0,2,0,6.583018799999991,,['space'],1,Z,Z,1,[0.38449980000018513],[None],364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
0,0,0,0,3,0,3,0,8.683220500000061,,['space'],1,Z,Z,1,[0.39521029999991697],[None],364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
0,0,0,0,4,0,4,0,10.78725459999987,,None,1,C,Z,1,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
0,0,0,0,5,0,5,0,12.882791199999929,,['space'],0,G,C,1,[0.3507210000000214],[None],364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
0,0,0,0,6,0,6,0,14.983116500000051,,None,1,P,G,1,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
0,0,0,0,7,0,7,0,17.082529300000033,,None,1,Q,P,1,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
0,0,0,0,8,0,8,0,19.182805299999927,,None,1,L,Q,1,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
0,0,0,0,9,0,9,0,21.282582899999852,,['space'],1,L,L,1,[0.560827899999822],[None],364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
0,0,0,0,10,0,10,0,23.384391999999934,,None,1,M,L,1,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
0,0,0,0,11,0,11,0,25.48244920000002,,['space'],1,M,M,1,[0.4245972000001075],[None],364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
0,0,0,0,,,,,,,,,,,,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
1,0,1,0,0,0,0,0,29.44910630000004,,None,1,M,,1,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
1,0,1,0,1,0,1,0,31.54907000000003,,['space'],1,M,M,1,[0.38477609999995366],[None],364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
1,0,1,0,2,0,2,0,33.64869299999987,,None,1,N,M,1,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
1,0,1,0,3,0,3,0,35.74876900000004,,['space'],1,N,N,1,[0.36736080000014226],[None],364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
1,0,1,0,4,0,4,0,37.84878069999991,,None,1,Q,N,1,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
1,0,1,0,5,0,5,0,39.94864370000005,,['space'],1,Q,Q,1,[0.38266879999991943],[None],364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
1,0,1,0,6,0,6,0,42.05027649999988,,None,1,S,Q,1,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
1,0,1,0,7,0,7,0,44.14817900000003,,None,1,U,S,1,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
1,0,1,0,8,0,8,0,46.24835770000004,,['space'],1,U,U,1,[0.3949181000000408],[None],364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
1,0,1,0,9,0,9,0,48.348216500000035,,None,1,Q,U,1,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
1,0,1,0,10,0,10,0,50.44819830000006,,None,1,P,Q,1,,,364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
1,0,1,0,11,0,11,0,52.54796549999992,,['space'],1,P,P,1,[0.4087211999999454],[None],364109,silence,2023-11-15_22h46.24.071,experiment,2023.2.2,59.91863049975516,2023-11-15 22h46.47.365606 +0100,
