index,participant,session,is_correct
2,200,silence,0.90625
5,201,silence,0.9375
8,202,silence,1.0
11,203,silence,0.9270833333333334
14,204,silence,0.96875
17,301,silence,0.9791666666666666
20,302,silence,0.9791666666666666
23,303,silence,0.9479166666666666
26,304,silence,0.9895833333333334
29,305,silence,0.9375
32,306,silence,0.9166666666666666
35,307,silence,1.0
38,9318,silence,0.9479166666666666
41,157356,silence,0.96875
44,548792,silence,1.0
47,588828,silence,0.9895833333333334
50,818597,silence,0.9791666666666666
53,839726,silence,0.96875
56,933098,silence,0.9895833333333334
